epoch,train_loss,train_accuracy,val_window_accuracy,val_window_balanced_accuracy,val_window_macro_f1,val_window_macro_precision,val_window_macro_recall,val_file_accuracy,val_file_balanced_accuracy,val_file_macro_f1,val_file_macro_precision,val_file_macro_recall,learning_rate
1,1.4112663269042969,0.3125,0.25,0.25,0.1,0.0625,0.25,0.25,0.25,0.1,0.0625,0.25,0.0003
2,1.2892189025878906,0.4036458333333333,0.25,0.25,0.1,0.0625,0.25,0.25,0.25,0.1,0.0625,0.25,0.0003
3,1.1380219459533691,0.5078125,0.25,0.25,0.1,0.0625,0.25,0.25,0.25,0.1,0.0625,0.25,0.0003
4,1.0147311290105183,0.5703125,0.2265625,0.2265625,0.15108695652173912,0.11348039215686274,0.2265625,0.5,0.5,0.34285714285714286,0.26666666666666666,0.5,0.0003
5,0.9393360018730164,0.5833333333333334,0.1953125,0.1953125,0.10045351473922905,0.08846153846153847,0.1953125,0.25,0.25,0.1,0.0625,0.25,0.0003
6,0.8756552760799726,0.6484375,0.2578125,0.2578125,0.11578044596912522,0.31299212598425197,0.2578125,0.25,0.25,0.1,0.0625,0.25,0.0003
7,0.8590619141856829,0.6614583333333334,0.2890625,0.2890625,0.1707933740191805,0.3150406504065041,0.2890625,0.25,0.25,0.1,0.0625,0.25,0.0003
8,0.8228161707520485,0.6588541666666666,0.2578125,0.2578125,0.11578044596912522,0.31299212598425197,0.2578125,0.25,0.25,0.1,0.0625,0.25,0.0003
9,0.8051081920663515,0.6640625,0.421875,0.421875,0.3158315565031983,0.3075980392156863,0.421875,0.5,0.5,0.375,0.3333333333333333,0.5,0.0003
10,0.7909785782297453,0.6875,0.46875,0.46875,0.42923485183547105,0.49758620689655175,0.46875,0.625,0.625,0.5595238095238095,0.6,0.625,0.0003
11,0.8077029213309288,0.6510416666666666,0.328125,0.328125,0.2276643990929705,0.2789297658862876,0.328125,0.25,0.25,0.1,0.0625,0.25,0.0003
12,0.7605259319146475,0.6901041666666666,0.3203125,0.3203125,0.2185996349759416,0.31956521739130433,0.3203125,0.25,0.25,0.1,0.0625,0.25,0.0003
13,0.6624781017502149,0.7369791666666666,0.25,0.25,0.1,0.0625,0.25,0.25,0.25,0.1,0.0625,0.25,0.0003
14,0.6285258332888285,0.7552083333333334,0.25,0.25,0.18010752688172044,0.141078184110971,0.25,0.5,0.5,0.34285714285714286,0.26666666666666666,0.5,0.0003
15,0.6122445637981097,0.7708333333333334,0.296875,0.296875,0.20219158713326263,0.16453816453816456,0.296875,0.375,0.375,0.2777777777777778,0.3214285714285714,0.375,0.0003
16,0.5855422243475914,0.7526041666666666,0.3671875,0.3671875,0.28394020851187135,0.3066976127320955,0.3671875,0.25,0.25,0.125,0.08333333333333333,0.25,0.00015
17,0.5272801841298739,0.8125,0.4296875,0.4296875,0.3885957792207792,0.46875,0.4296875,0.625,0.625,0.5595238095238095,0.6,0.625,0.00015
