epoch,train_loss,train_accuracy,val_window_accuracy,val_window_balanced_accuracy,val_window_macro_f1,val_window_macro_precision,val_window_macro_recall,val_file_accuracy,val_file_balanced_accuracy,val_file_macro_f1,val_file_macro_precision,val_file_macro_recall,learning_rate
1,1.4507368499157476,0.24509803921568626,0.25,0.25,0.1,0.0625,0.25,0.25,0.25,0.1,0.0625,0.25,0.0003
2,1.2553841085994946,0.3897058823529412,0.25,0.25,0.1,0.0625,0.25,0.25,0.25,0.1,0.0625,0.25,0.0003
3,1.0322461221732346,0.553921568627451,0.25,0.25,0.1,0.0625,0.25,0.25,0.25,0.1,0.0625,0.25,0.0003
4,0.9286142213671815,0.5784313725490197,0.27941176470588236,0.27941176470588236,0.18415584415584418,0.20104166666666667,0.27941176470588236,0.25,0.25,0.1,0.0625,0.25,0.0003
5,0.902774502249325,0.5906862745098039,0.3382352941176471,0.3382352941176471,0.2366339334424441,0.30044136191677173,0.3382352941176471,0.25,0.25,0.1,0.0625,0.25,0.00015
6,0.8139166177487841,0.6544117647058824,0.27205882352941174,0.27205882352941174,0.14233694772616928,0.31390977443609025,0.27205882352941174,0.25,0.25,0.1,0.0625,0.25,0.00015
7,0.823186902438893,0.6299019607843137,0.3382352941176471,0.3382352941176471,0.26298852874483125,0.41195991671004684,0.3382352941176471,0.25,0.25,0.1,0.0625,0.25,0.00015
8,0.7064728386261884,0.7083333333333334,0.3382352941176471,0.338235294117647,0.299560196890759,0.3325680272108843,0.338235294117647,0.375,0.375,0.27142857142857146,0.21666666666666667,0.375,0.00015
9,0.7477319895052442,0.6838235294117647,0.49264705882352944,0.49264705882352944,0.5046978152241309,0.5324400587724571,0.49264705882352944,0.875,0.875,0.8666666666666667,0.9166666666666666,0.875,0.00015
10,0.6946870392444087,0.7230392156862745,0.4485294117647059,0.44852941176470584,0.3534543325526932,0.5778301886792453,0.44852941176470584,0.5,0.5,0.375,0.3333333333333333,0.5,0.00015
11,0.6889237025204826,0.7303921568627451,0.4485294117647059,0.44852941176470584,0.3000581226387678,0.2267774598283073,0.44852941176470584,0.5,0.5,0.34285714285714286,0.26666666666666666,0.5,0.00015
12,0.617963920621311,0.7549019607843137,0.4411764705882353,0.4411764705882353,0.33795920375975,0.3674450549450549,0.4411764705882353,0.5,0.5,0.375,0.3333333333333333,0.5,0.00015
13,0.6958055870205748,0.7107843137254902,0.4338235294117647,0.4338235294117647,0.38323252688172044,0.4351421541826135,0.4338235294117647,0.375,0.375,0.29166666666666663,0.3333333333333333,0.375,7.5e-05
14,0.6001988065009024,0.7671568627450981,0.3897058823529412,0.3897058823529412,0.3576907131011609,0.4675,0.3897058823529412,0.25,0.25,0.1,0.0625,0.25,7.5e-05
15,0.557756265004476,0.7843137254901961,0.5588235294117647,0.5588235294117647,0.47505319539217844,0.44453488372093025,0.5588235294117647,0.75,0.75,0.65,0.5833333333333333,0.75,7.5e-05
16,0.5630923053797554,0.8014705882352942,0.47794117647058826,0.4779411764705882,0.45291813185757385,0.47426303854875285,0.4779411764705882,0.75,0.75,0.65,0.5833333333333333,0.75,7.5e-05
17,0.5766446076187433,0.7549019607843137,0.5294117647058824,0.5294117647058824,0.458725432454246,0.4414260563380281,0.5294117647058824,0.75,0.75,0.6666666666666666,0.625,0.75,3.75e-05
