epoch,train_loss,train_accuracy,val_window_accuracy,val_window_balanced_accuracy,val_window_macro_f1,val_window_macro_precision,val_window_macro_recall,val_file_accuracy,val_file_balanced_accuracy,val_file_macro_f1,val_file_macro_precision,val_file_macro_recall,learning_rate
1,1.4347187117034315,0.2549019607843137,0.25,0.25,0.1,0.0625,0.25,0.25,0.25,0.1,0.0625,0.25,0.0003
2,1.4039210899203431,0.2818627450980392,0.25,0.25,0.1,0.0625,0.25,0.25,0.25,0.1,0.0625,0.25,0.0003
3,1.3868659524356617,0.3161764705882353,0.25,0.25,0.1,0.0625,0.25,0.25,0.25,0.1,0.0625,0.25,0.0003
4,1.3724293428308822,0.28921568627450983,0.25,0.25,0.1,0.0625,0.25,0.25,0.25,0.1,0.0625,0.25,0.0003
5,1.3671276616115196,0.3333333333333333,0.2426470588235294,0.2426470588235294,0.09763313609467456,0.06111111111111111,0.2426470588235294,0.25,0.25,0.1,0.0625,0.25,0.00015
6,1.3473247453278185,0.38235294117647056,0.25,0.25,0.1,0.0625,0.25,0.25,0.25,0.1,0.0625,0.25,0.00015
7,1.3433981502757353,0.3431372549019608,0.25735294117647056,0.25735294117647056,0.1716769820218096,0.13099568083655377,0.25735294117647056,0.25,0.25,0.1,0.0625,0.25,0.00015
8,1.3415623085171569,0.39705882352941174,0.27941176470588236,0.27941176470588236,0.15255731922398588,0.19140625,0.27941176470588236,0.25,0.25,0.1,0.0625,0.25,0.00015
9,1.3267582912071079,0.40931372549019607,0.25,0.25,0.1,0.0625,0.25,0.25,0.25,0.1,0.0625,0.25,7.5e-05
