run_name,learning_rate,weight_decay,dropout,val_subject,best_epoch,val_accuracy,val_balanced_accuracy,val_macro_f1
lr0p001_wd0p0001_drop0p25,0.001,0.0001,0.25,,13,0.5,0.5,0.34285714285714286
lr0p001_wd0p0001_drop0p5,0.001,0.0001,0.5,,22,0.75,0.75,0.6666666666666666
lr0p001_wd0p001_drop0p25,0.001,0.001,0.25,,17,0.75,0.75,0.6666666666666666
lr0p001_wd0p001_drop0p5,0.001,0.001,0.5,,23,0.75,0.75,0.6666666666666666
lr0p0003_wd0p0001_drop0p25,0.0003,0.0001,0.25,,19,1.0,1.0,1.0
lr0p0003_wd0p0001_drop0p5,0.0003,0.0001,0.5,,16,0.875,0.875,0.8666666666666667
lr0p0003_wd0p001_drop0p25,0.0003,0.001,0.25,,25,0.75,0.75,0.6666666666666666
lr0p0003_wd0p001_drop0p5,0.0003,0.001,0.5,,14,0.75,0.75,0.6666666666666666
