epoch,train_loss,train_accuracy,val_window_accuracy,val_window_balanced_accuracy,val_window_macro_f1,val_window_macro_precision,val_window_macro_recall,val_file_accuracy,val_file_balanced_accuracy,val_file_macro_f1,val_file_macro_precision,val_file_macro_recall,learning_rate
1,1.4281182183159722,0.26944444444444443,0.25,0.25,0.1,0.0625,0.25,0.25,0.25,0.1,0.0625,0.25,0.0003
2,1.3916558159722223,0.3055555555555556,0.25,0.25,0.1,0.0625,0.25,0.25,0.25,0.1,0.0625,0.25,0.0003
3,1.3741455078125,0.35555555555555557,0.25,0.25,0.1,0.0625,0.25,0.25,0.25,0.1,0.0625,0.25,0.0003
4,1.3651787651909721,0.3888888888888889,0.25,0.25,0.1,0.0625,0.25,0.25,0.25,0.1,0.0625,0.25,0.0003
5,1.3468980577256944,0.36944444444444446,0.25,0.25,0.1,0.0625,0.25,0.25,0.25,0.1,0.0625,0.25,0.00015
6,1.3391560872395833,0.4083333333333333,0.23333333333333334,0.23333333333333334,0.11805555555555555,0.14035087719298245,0.23333333333333334,0.25,0.25,0.1,0.0625,0.25,0.00015
7,1.3337632921006946,0.39444444444444443,0.25,0.25,0.1,0.0625,0.25,0.25,0.25,0.1,0.0625,0.25,0.00015
8,1.3244344075520833,0.4111111111111111,0.25,0.25,0.1,0.0625,0.25,0.25,0.25,0.1,0.0625,0.25,0.00015
9,1.3110948350694445,0.4583333333333333,0.26666666666666666,0.2666666666666667,0.13989898989898988,0.17352941176470588,0.2666666666666667,0.25,0.25,0.1,0.0625,0.25,7.5e-05
