epoch,train_loss,train_accuracy,val_window_accuracy,val_window_balanced_accuracy,val_window_macro_f1,val_window_macro_precision,val_window_macro_recall,val_file_accuracy,val_file_balanced_accuracy,val_file_macro_f1,val_file_macro_precision,val_file_macro_recall,learning_rate
1,1.3834228515625,0.3333333333333333,0.25,0.25,0.1,0.0625,0.25,0.25,0.25,0.1,0.0625,0.25,0.001
2,1.1164069771766663,0.4869791666666667,0.25,0.25,0.1,0.0625,0.25,0.25,0.25,0.1,0.0625,0.25,0.001
3,0.9523907030622164,0.578125,0.25,0.25,0.1,0.0625,0.25,0.25,0.25,0.1,0.0625,0.25,0.001
4,0.8822519754370054,0.6223958333333334,0.25,0.25,0.1,0.0625,0.25,0.25,0.25,0.1,0.0625,0.25,0.001
5,0.874098944167296,0.609375,0.25,0.25,0.1,0.0625,0.25,0.25,0.25,0.1,0.0625,0.25,0.001
6,0.7902598132689794,0.6796875,0.234375,0.234375,0.15888720754277733,0.12748487467588593,0.234375,0.25,0.25,0.1,0.0625,0.25,0.001
7,0.6911107624570528,0.7395833333333334,0.21875,0.21875,0.143943661971831,0.14494949494949494,0.21875,0.25,0.25,0.1,0.0625,0.25,0.0005
8,0.6581289830307165,0.7291666666666666,0.3515625,0.3515625,0.3036334004409932,0.38222222222222224,0.3515625,0.25,0.25,0.1,0.0625,0.25,0.0005
9,0.6273068822920322,0.7578125,0.25,0.25,0.1495238095238095,0.1822033898305085,0.25,0.25,0.25,0.1,0.0625,0.25,0.0005
10,0.661110557615757,0.7135416666666666,0.2890625,0.2890625,0.20897244468576082,0.21083667111704496,0.2890625,0.25,0.25,0.1,0.0625,0.25,0.0005
11,0.6244703928629557,0.7682291666666666,0.2421875,0.2421875,0.09748427672955975,0.0610236220472441,0.2421875,0.25,0.25,0.1,0.0625,0.25,0.0005
12,0.6009903413554033,0.7447916666666666,0.25,0.25,0.1,0.0625,0.25,0.25,0.25,0.1,0.0625,0.25,0.0005
13,0.47576169048746425,0.8151041666666666,0.25,0.25,0.1,0.0625,0.25,0.25,0.25,0.1,0.0625,0.25,0.00025
14,0.48173167183995247,0.8463541666666666,0.328125,0.328125,0.22366162010301233,0.29564879564879565,0.328125,0.25,0.25,0.1,0.0625,0.25,0.00025
15,0.44240189840396243,0.8411458333333334,0.296875,0.296875,0.19868637110016418,0.15031133250311332,0.296875,0.5,0.5,0.375,0.3333333333333333,0.5,0.00025
16,0.42243976642688114,0.8619791666666666,0.3828125,0.3828125,0.2713337757133378,0.26097308488612836,0.3828125,0.5,0.5,0.375,0.3333333333333333,0.5,0.00025
17,0.3891000859439373,0.8515625,0.515625,0.515625,0.4525727783452502,0.4332213005339436,0.515625,0.75,0.75,0.6666666666666666,0.625,0.75,0.00025
18,0.36583662157257396,0.8697916666666666,0.28125,0.28125,0.21264443277310924,0.1874102011494253,0.28125,0.25,0.25,0.1,0.0625,0.25,0.00025
19,0.44235250105460483,0.828125,0.359375,0.359375,0.27029275315949447,0.42191500256016384,0.359375,0.5,0.5,0.34285714285714286,0.26666666666666666,0.5,0.00025
20,0.3609083580474059,0.8854166666666666,0.21875,0.21875,0.13607263415201956,0.10386055891673869,0.21875,0.25,0.25,0.1,0.0625,0.25,0.00025
21,0.3847864580651124,0.8567708333333334,0.265625,0.265625,0.18671004880490552,0.16509926854754442,0.265625,0.25,0.25,0.1,0.0625,0.25,0.00025
22,0.3659341211120288,0.8671875,0.234375,0.234375,0.1219047619047619,0.22598870056497175,0.234375,0.25,0.25,0.1,0.0625,0.25,0.00025
23,0.3529473642508189,0.8828125,0.25,0.25,0.1249619482496195,0.10425101214574899,0.25,0.25,0.25,0.1,0.0625,0.25,0.000125
24,0.33672458740572137,0.8880208333333334,0.28125,0.28125,0.1527777777777778,0.13392857142857142,0.28125,0.25,0.25,0.1,0.0625,0.25,0.000125
25,0.28673056202630204,0.9244791666666666,0.4921875,0.4921875,0.4705587744026746,0.6032449124228004,0.4921875,0.5,0.5,0.375,0.3333333333333333,0.5,0.000125
26,0.33119142552216846,0.8645833333333334,0.3828125,0.3828125,0.3885480885480886,0.5270114942528735,0.3828125,0.375,0.375,0.32142857142857145,0.3,0.375,0.000125
27,0.31552158171931904,0.890625,0.34375,0.34375,0.22378167641325536,0.19766990291262135,0.34375,0.25,0.25,0.1,0.0625,0.25,0.000125
28,0.284010699018836,0.9140625,0.421875,0.421875,0.3719484067844724,0.5013888888888889,0.421875,0.375,0.375,0.2777777777777778,0.3214285714285714,0.375,0.000125
29,0.28965551902850467,0.8932291666666666,0.359375,0.359375,0.2786619834257176,0.36064425770308123,0.359375,0.375,0.375,0.2777777777777778,0.3214285714285714,0.375,6.25e-05
30,0.23740697527925173,0.9401041666666666,0.578125,0.578125,0.5576836763865065,0.6206670168067226,0.578125,0.625,0.625,0.5833333333333333,0.625,0.625,6.25e-05
31,0.29786727484315634,0.8880208333333334,0.3203125,0.3203125,0.3119169015195519,0.4383116883116883,0.3203125,0.375,0.375,0.2777777777777778,0.3214285714285714,0.375,6.25e-05
32,0.2581129341075818,0.9088541666666666,0.53125,0.53125,0.45919132632265425,0.4847962382445141,0.53125,0.75,0.75,0.65,0.5833333333333333,0.75,6.25e-05
