run_name,seed,val_subject,val_accuracy,val_balanced_accuracy,val_macro_f1
best_seed0_val113922,0,113922,0.40625,0.40625,0.2833333333333333
best_seed0_val164636,0,164636,0.6875,0.6875,0.6638257575757577
best_seed1_val113922,1,113922,0.53125,0.53125,0.522960372960373
best_seed1_val164636,1,164636,0.5,0.5,0.375
best_seed2_val113922,2,113922,0.65625,0.65625,0.6403846153846154
best_seed2_val164636,2,164636,0.53125,0.53125,0.4589169000933707
