run_name,learning_rate,weight_decay,dropout,val_subject,best_epoch,val_accuracy,val_balanced_accuracy,val_macro_f1
lr0p001_wd0p0001_drop0p25,0.001,0.0001,0.25,,19,0.75,0.75,0.6666666666666666
lr0p001_wd0p0001_drop0p5,0.001,0.0001,0.5,,26,0.75,0.75,0.7416666666666666
lr0p001_wd0p001_drop0p25,0.001,0.001,0.25,,17,0.75,0.75,0.6666666666666666
lr0p001_wd0p001_drop0p5,0.001,0.001,0.5,,24,0.75,0.75,0.6666666666666666
lr0p0003_wd0p0001_drop0p25,0.0003,0.0001,0.25,,34,0.875,0.875,0.8666666666666667
lr0p0003_wd0p0001_drop0p5,0.0003,0.0001,0.5,,28,0.75,0.75,0.6666666666666666
lr0p0003_wd0p001_drop0p25,0.0003,0.001,0.25,,39,0.875,0.875,0.8666666666666667
lr0p0003_wd0p001_drop0p5,0.0003,0.001,0.5,,29,0.75,0.75,0.7416666666666666
