epoch,train_loss,train_accuracy,val_window_accuracy,val_window_balanced_accuracy,val_window_macro_f1,val_window_macro_precision,val_window_macro_recall,val_file_accuracy,val_file_balanced_accuracy,val_file_macro_f1,val_file_macro_precision,val_file_macro_recall,learning_rate
1,1.4326502482096355,0.24739583333333334,0.25,0.25,0.1,0.0625,0.25,0.25,0.25,0.1,0.0625,0.25,0.001
2,1.400037129720052,0.2630208333333333,0.25,0.25,0.1,0.0625,0.25,0.25,0.25,0.1,0.0625,0.25,0.001
3,1.360870361328125,0.3645833333333333,0.25,0.25,0.1,0.0625,0.25,0.25,0.25,0.1,0.0625,0.25,0.001
4,1.3534342447916667,0.3671875,0.25,0.25,0.1,0.0625,0.25,0.25,0.25,0.1,0.0625,0.25,0.001
5,1.3326047261555989,0.375,0.25,0.25,0.1,0.0625,0.25,0.25,0.25,0.1,0.0625,0.25,0.001
6,1.2961959838867188,0.453125,0.25,0.25,0.1,0.0625,0.25,0.25,0.25,0.1,0.0625,0.25,0.001
7,1.2470080057779949,0.5104166666666666,0.25,0.25,0.1,0.0625,0.25,0.25,0.25,0.1,0.0625,0.25,0.0005
8,1.219596227010091,0.5130208333333334,0.3828125,0.3828125,0.31474201474201474,0.5220919213456527,0.3828125,0.5,0.5,0.3928571428571429,0.35,0.5,0.0005
9,1.2065636316935222,0.5520833333333334,0.25,0.25,0.1,0.0625,0.25,0.25,0.25,0.1,0.0625,0.25,0.0005
10,1.1988986333211262,0.5260416666666666,0.3203125,0.3203125,0.24922978177150196,0.4391592920353982,0.3203125,0.25,0.25,0.1,0.0625,0.25,0.0005
11,1.163740634918213,0.5859375,0.28125,0.28125,0.1558572146807441,0.2089728453364817,0.28125,0.25,0.25,0.1,0.0625,0.25,0.0005
12,1.1631701787312825,0.5703125,0.328125,0.328125,0.2257142857142857,0.3177966101694915,0.328125,0.25,0.25,0.1,0.0625,0.25,0.0005
13,1.1309606234232585,0.5859375,0.3046875,0.3046875,0.20739088881809492,0.2703349282296651,0.3046875,0.25,0.25,0.1,0.0625,0.25,0.0005
14,1.1275707880655925,0.5859375,0.265625,0.265625,0.18116258741258742,0.19693130630630631,0.265625,0.25,0.25,0.1,0.0625,0.25,0.00025
15,1.1100187301635742,0.6145833333333334,0.3671875,0.3671875,0.2566173476313289,0.25333778371161547,0.3671875,0.375,0.375,0.2777777777777778,0.3214285714285714,0.375,0.00025
16,1.1046767234802246,0.6041666666666666,0.3984375,0.3984375,0.32680030952265804,0.31547619047619047,0.3984375,0.5,0.5,0.375,0.3333333333333333,0.5,0.00025
17,1.0875190893809001,0.6223958333333334,0.515625,0.515625,0.48693982278319625,0.4877846299810247,0.515625,0.625,0.625,0.5833333333333333,0.625,0.625,0.00025
18,1.0837264855702717,0.6119791666666666,0.3828125,0.3828125,0.28535749964321394,0.32207207207207206,0.3828125,0.5,0.5,0.375,0.3333333333333333,0.5,0.00025
19,1.077070673306783,0.6145833333333334,0.390625,0.390625,0.39186627564557946,0.4944332662642521,0.390625,0.625,0.625,0.5595238095238095,0.6,0.625,0.00025
20,1.0603302319844563,0.6536458333333334,0.390625,0.390625,0.3493177461662631,0.4496729651162791,0.390625,0.5,0.5,0.375,0.3333333333333333,0.5,0.00025
21,1.0689183076222737,0.625,0.3125,0.3125,0.2407624369142033,0.4698464912280702,0.3125,0.25,0.25,0.1,0.0625,0.25,0.00025
22,1.063413103421529,0.6302083333333334,0.3359375,0.3359375,0.2828774062816616,0.4155339805825242,0.3359375,0.375,0.375,0.2777777777777778,0.3214285714285714,0.375,0.00025
23,1.0452749729156494,0.6302083333333334,0.4453125,0.4453125,0.3589389070708171,0.3051404853128991,0.4453125,0.5,0.5,0.41666666666666663,0.375,0.5,0.000125
24,1.0385631720225017,0.6302083333333334,0.5234375,0.5234375,0.45836911567134686,0.425878890501532,0.5234375,0.75,0.75,0.6666666666666666,0.625,0.75,0.000125
25,1.0257905721664429,0.6588541666666666,0.46875,0.46875,0.38745842977625244,0.3546583850931677,0.46875,0.5,0.5,0.375,0.3333333333333333,0.5,0.000125
26,1.0483380158742268,0.6276041666666666,0.453125,0.453125,0.3950275771086157,0.5564613526570048,0.453125,0.375,0.375,0.29166666666666663,0.3333333333333333,0.375,0.000125
27,1.0247584978739421,0.6484375,0.515625,0.515625,0.5269586262856453,0.5420839482746503,0.515625,0.5,0.5,0.5166666666666666,0.5833333333333334,0.5,0.000125
28,1.0396090745925903,0.6197916666666666,0.4375,0.4375,0.37771600146081163,0.7415223665223665,0.4375,0.375,0.375,0.2777777777777778,0.3214285714285714,0.375,0.000125
29,1.0292538007100422,0.6614583333333334,0.390625,0.390625,0.2764132553606238,0.2576699029126214,0.390625,0.375,0.375,0.2777777777777778,0.3214285714285714,0.375,0.000125
30,0.9995583295822144,0.6901041666666666,0.515625,0.515625,0.4444583036350678,0.47354071458246777,0.515625,0.5,0.5,0.375,0.3333333333333333,0.5,6.25e-05
31,1.0160016616185505,0.6692708333333334,0.59375,0.59375,0.5437500000000001,0.5502232142857143,0.59375,0.75,0.75,0.6666666666666666,0.625,0.75,6.25e-05
32,1.0036784410476685,0.6588541666666666,0.515625,0.515625,0.5315369710634764,0.571939171939172,0.515625,0.625,0.625,0.6416666666666666,0.7083333333333333,0.625,6.25e-05
33,1.007743239402771,0.6458333333333334,0.4921875,0.4921875,0.4916706045608308,0.5188665501165501,0.4921875,0.625,0.625,0.5833333333333333,0.625,0.625,6.25e-05
34,1.0083546837170918,0.65625,0.515625,0.515625,0.50496632996633,0.5149179236912156,0.515625,0.5,0.5,0.41666666666666663,0.375,0.5,6.25e-05
35,1.011757254600525,0.6848958333333334,0.5234375,0.5234375,0.5339847882269446,0.5600310856049737,0.5234375,0.625,0.625,0.5833333333333333,0.625,0.625,6.25e-05
36,1.008131464322408,0.6510416666666666,0.546875,0.546875,0.5400641025641025,0.6036931818181819,0.546875,0.625,0.625,0.5833333333333333,0.625,0.625,3.125e-05
37,1.023535172144572,0.6223958333333334,0.515625,0.515625,0.5045964008945754,0.5104189892233371,0.515625,0.75,0.75,0.6666666666666666,0.625,0.75,3.125e-05
38,1.0069186091423035,0.6536458333333334,0.5390625,0.5390625,0.5131664940244798,0.5182942650744509,0.5390625,0.75,0.75,0.65,0.5833333333333333,0.75,3.125e-05
39,1.028910795847575,0.6197916666666666,0.578125,0.578125,0.5342918864324991,0.5807539682539682,0.578125,0.75,0.75,0.65,0.5833333333333333,0.75,3.125e-05
