epoch,train_loss,train_accuracy,learning_rate
1,1.4596126780790442,0.3272058823529412,0.001
2,1.0518180500058567,0.5147058823529411,0.001
3,0.9404268895878511,0.5919117647058824,0.001
4,0.8803392210427452,0.6277573529411765,0.001
5,0.8535329121000627,0.6240808823529411,0.001
6,0.8549604459720499,0.6268382352941176,0.001
7,0.796286470749799,0.6461397058823529,0.001
8,0.7700639687040273,0.671875,0.001
9,0.7831457371220869,0.6443014705882353,0.001
10,0.7610084361889783,0.6727941176470589,0.001
11,0.7222196183660451,0.6948529411764706,0.001
12,0.6698988974094391,0.7242647058823529,0.001
13,0.6887213324799257,0.6976102941176471,0.001
14,0.6554876359946588,0.7215073529411765,0.001
15,0.6390291110557669,0.7288602941176471,0.001
16,0.6488744195769814,0.7334558823529411,0.001
17,0.6107295764719739,0.7288602941176471,0.001
18,0.5975077743915951,0.7334558823529411,0.001
19,0.5831413426819969,0.7380514705882353,0.001
20,0.5545492001316127,0.7555147058823529,0.001
21,0.5702047369935933,0.7426470588235294,0.001
22,0.5296297169783536,0.765625,0.001
23,0.5688248557202956,0.7555147058823529,0.001
24,0.5374883772695765,0.7738970588235294,0.001
25,0.5477275730055922,0.7555147058823529,0.001
26,0.5508816132650656,0.75,0.0005
27,0.5129167398109156,0.7858455882352942,0.0005
