epoch,train_loss,train_accuracy,val_window_accuracy,val_window_balanced_accuracy,val_window_macro_f1,val_window_macro_precision,val_window_macro_recall,val_file_accuracy,val_file_balanced_accuracy,val_file_macro_f1,val_file_macro_precision,val_file_macro_recall,learning_rate
1,1.4253807067871094,0.3046875,0.25,0.25,0.1,0.0625,0.25,0.25,0.25,0.1,0.0625,0.25,0.0003
2,1.3929646809895833,0.2916666666666667,0.25,0.25,0.1,0.0625,0.25,0.25,0.25,0.1,0.0625,0.25,0.0003
3,1.3783467610677083,0.296875,0.25,0.25,0.1,0.0625,0.25,0.25,0.25,0.1,0.0625,0.25,0.0003
4,1.3514111836751301,0.3359375,0.25,0.25,0.1,0.0625,0.25,0.25,0.25,0.1,0.0625,0.25,0.0003
5,1.3232917785644531,0.3932291666666667,0.2578125,0.2578125,0.11578044596912522,0.31299212598425197,0.2578125,0.25,0.25,0.1,0.0625,0.25,0.0003
6,1.3091646830240886,0.4322916666666667,0.3046875,0.3046875,0.195703854644252,0.3172268907563025,0.3046875,0.25,0.25,0.1,0.0625,0.25,0.0003
7,1.2864259084065754,0.3880208333333333,0.265625,0.265625,0.13067758749069247,0.3134920634920635,0.265625,0.25,0.25,0.1,0.0625,0.25,0.00015
8,1.2754688262939453,0.4427083333333333,0.3359375,0.3359375,0.31694101117398066,0.6032467532467533,0.3359375,0.5,0.5,0.375,0.3333333333333333,0.5,0.00015
9,1.2512130737304688,0.5,0.3984375,0.3984375,0.3405429461504228,0.42387596899224805,0.3984375,0.375,0.375,0.2777777777777778,0.3214285714285714,0.375,0.00015
10,1.2461109161376953,0.5104166666666666,0.4296875,0.4296875,0.3790424570912375,0.5474649406688241,0.4296875,0.5,0.5,0.375,0.3333333333333333,0.5,0.00015
11,1.2461236317952473,0.5052083333333334,0.4765625,0.4765625,0.4279351781157356,0.5467599410898379,0.4765625,0.5,0.5,0.375,0.3333333333333333,0.5,0.00015
12,1.2248318990071614,0.5338541666666666,0.3984375,0.3984375,0.3454354033402989,0.5446521287642783,0.3984375,0.25,0.25,0.1,0.0625,0.25,0.00015
13,1.2363548278808594,0.5104166666666666,0.3203125,0.3203125,0.3112036332030801,0.6038773148148149,0.3203125,0.5,0.5,0.375,0.3333333333333333,0.5,0.00015
14,1.2288373311360676,0.5,0.3125,0.3125,0.2573187414500684,0.35580021482277124,0.3125,0.25,0.25,0.1,0.0625,0.25,7.5e-05
15,1.2104123433430989,0.546875,0.4765625,0.4765625,0.4796994901652728,0.6808823529411765,0.4765625,0.5,0.5,0.375,0.3333333333333333,0.5,7.5e-05
16,1.2085412343343098,0.5572916666666666,0.515625,0.515625,0.4718323369067253,0.5007291666666667,0.515625,0.75,0.75,0.6666666666666666,0.625,0.75,7.5e-05
17,1.2120215098063152,0.5416666666666666,0.375,0.375,0.37516339869281046,0.6210526315789473,0.375,0.5,0.5,0.3928571428571429,0.35,0.5,7.5e-05
18,1.2024113337198894,0.5572916666666666,0.3984375,0.3984375,0.41263709588436503,0.6017919196547905,0.3984375,0.5,0.5,0.41666666666666663,0.375,0.5,7.5e-05
19,1.2060896555582683,0.53125,0.4296875,0.4296875,0.3780038331121922,0.5742574257425743,0.4296875,0.5,0.5,0.375,0.3333333333333333,0.5,7.5e-05
20,1.1920531590779622,0.5807291666666666,0.46875,0.46875,0.43305996542681857,0.6172474747474748,0.46875,0.5,0.5,0.375,0.3333333333333333,0.5,7.5e-05
21,1.1958847045898438,0.5572916666666666,0.5390625,0.5390625,0.523137204644054,0.5292276422764228,0.5390625,0.75,0.75,0.6666666666666666,0.625,0.75,7.5e-05
22,1.189003626505534,0.5703125,0.4296875,0.4296875,0.45858277125770686,0.6100806451612903,0.4296875,0.625,0.625,0.5833333333333333,0.625,0.625,3.75e-05
23,1.185439109802246,0.5677083333333334,0.4921875,0.4921875,0.5190277595601325,0.652158451357536,0.4921875,0.625,0.625,0.5595238095238095,0.6,0.625,3.75e-05
24,1.1888516743977864,0.5651041666666666,0.484375,0.484375,0.5152432419354662,0.6590909090909091,0.484375,0.375,0.375,0.41666666666666663,0.5,0.375,3.75e-05
25,1.1779111226399739,0.59375,0.4765625,0.4765625,0.49507832854244976,0.609212962962963,0.4765625,0.625,0.625,0.5833333333333333,0.625,0.625,3.75e-05
26,1.1862462361653645,0.5807291666666666,0.53125,0.53125,0.5456404204240553,0.5869047619047619,0.53125,0.75,0.75,0.6666666666666666,0.625,0.75,3.75e-05
27,1.1757176717122395,0.5859375,0.484375,0.484375,0.4792457542457542,0.5251348228043143,0.484375,0.75,0.75,0.6666666666666666,0.625,0.75,3.75e-05
28,1.1737778981526692,0.5885416666666666,0.5078125,0.5078125,0.5342814227733215,0.599273275743864,0.5078125,0.625,0.625,0.5595238095238095,0.6,0.625,1.875e-05
29,1.1738937695821126,0.5885416666666666,0.4921875,0.4921875,0.5151114955697043,0.5998655756867329,0.4921875,0.625,0.625,0.5595238095238095,0.6,0.625,1.875e-05
30,1.1710742314656575,0.5963541666666666,0.4921875,0.4921875,0.5133629872501948,0.6008918482647296,0.4921875,0.625,0.625,0.5595238095238095,0.6,0.625,1.875e-05
31,1.1747639973958333,0.5755208333333334,0.5,0.5,0.517016011472587,0.6243848755435464,0.5,0.375,0.375,0.41666666666666663,0.5,0.375,1.875e-05
