epoch,train_loss,train_accuracy,learning_rate
1,1.3943232297897339,0.2734375,0.001
2,1.3330880403518677,0.37890625,0.001
3,1.251449704170227,0.517578125,0.001
4,1.1345117688179016,0.6328125,0.001
5,1.0254541039466858,0.689453125,0.001
6,0.9331513047218323,0.7158203125,0.001
7,0.8563818857073784,0.71484375,0.001
8,0.7744901888072491,0.732421875,0.001
9,0.697831972502172,0.740234375,0.001
10,0.6667088745161891,0.73828125,0.001
11,0.6422981219366193,0.7373046875,0.001
12,0.597571914549917,0.7490234375,0.001
13,0.554205930326134,0.7802734375,0.001
14,0.5652859243564308,0.7841796875,0.001
15,0.5499398107640445,0.771484375,0.001
16,0.5093765980564058,0.7822265625,0.001
17,0.5264415624551475,0.7734375,0.001
18,0.5087051303125918,0.7978515625,0.001
19,0.4829713092185557,0.796875,0.001
20,0.4892190610989928,0.7841796875,0.001
21,0.479118422139436,0.80859375,0.001
22,0.4681013049557805,0.8115234375,0.001
23,0.4436768228188157,0.8125,0.001
24,0.4524856142234057,0.8212890625,0.001
25,0.4507570944260806,0.810546875,0.001
26,0.429605457931757,0.830078125,0.001
27,0.43222643295302987,0.830078125,0.001
28,0.43003108398988843,0.837890625,0.001
29,0.41305818175897,0.8330078125,0.001
30,0.4161337981931865,0.837890625,0.001
31,0.4049839510116726,0.849609375,0.001
32,0.40329879242926836,0.8408203125,0.001
33,0.3558735754340887,0.865234375,0.001
34,0.3838198473677039,0.8505859375,0.001
35,0.38083377783186734,0.8466796875,0.001
36,0.37646733480505645,0.853515625,0.001
37,0.3219347766134888,0.876953125,0.001
38,0.353378004161641,0.8662109375,0.001
39,0.3278262981912121,0.873046875,0.001
40,0.36884009384084493,0.87109375,0.001
41,0.34431882947683334,0.8701171875,0.001
42,0.3032476578373462,0.8896484375,0.001
43,0.3273699845885858,0.8740234375,0.001
