epoch,train_loss,train_accuracy,val_window_accuracy,val_window_balanced_accuracy,val_window_macro_f1,val_window_macro_precision,val_window_macro_recall,val_file_accuracy,val_file_balanced_accuracy,val_file_macro_f1,val_file_macro_precision,val_file_macro_recall,learning_rate
1,1.4125760396321614,0.24479166666666666,0.25,0.25,0.1,0.0625,0.25,0.25,0.25,0.1,0.0625,0.25,0.0003
2,1.3904266357421875,0.2552083333333333,0.25,0.25,0.1,0.0625,0.25,0.25,0.25,0.1,0.0625,0.25,0.0003
3,1.368146260579427,0.3046875,0.25,0.25,0.1,0.0625,0.25,0.25,0.25,0.1,0.0625,0.25,0.0003
4,1.358660380045573,0.3489583333333333,0.21875,0.21875,0.14383875400824553,0.11184939091915835,0.21875,0.25,0.25,0.1,0.0625,0.25,0.0003
5,1.3352750142415364,0.3932291666666667,0.25,0.25,0.1,0.0625,0.25,0.25,0.25,0.1,0.0625,0.25,0.0003
6,1.323203404744466,0.4010416666666667,0.2734375,0.2734375,0.14276315789473684,0.16041666666666665,0.2734375,0.25,0.25,0.1,0.0625,0.25,0.0003
7,1.3045997619628906,0.4505208333333333,0.3203125,0.3203125,0.305242673992674,0.5383252164502165,0.3203125,0.25,0.25,0.1,0.0625,0.25,0.00015
8,1.2885684967041016,0.4609375,0.2890625,0.2890625,0.19430231216096638,0.4206837186424004,0.2890625,0.25,0.25,0.1,0.0625,0.25,0.00015
9,1.2812843322753906,0.4791666666666667,0.265625,0.265625,0.1777777777777778,0.14090909090909093,0.265625,0.25,0.25,0.1,0.0625,0.25,0.00015
10,1.2717444101969402,0.4739583333333333,0.3125,0.3125,0.19756712112827218,0.41226635514018695,0.3125,0.25,0.25,0.1,0.0625,0.25,0.00015
11,1.2612940470377605,0.4713541666666667,0.3359375,0.3359375,0.24232736572890023,0.2526067527308838,0.3359375,0.375,0.375,0.2777777777777778,0.3214285714285714,0.375,0.00015
12,1.2580248514811199,0.5130208333333334,0.2578125,0.2578125,0.11578044596912522,0.31299212598425197,0.2578125,0.25,0.25,0.1,0.0625,0.25,0.00015
13,1.2502759297688801,0.5026041666666666,0.265625,0.265625,0.24334770688578847,0.4472049689440994,0.265625,0.25,0.25,0.1,0.0625,0.25,0.00015
14,1.2403278350830078,0.5234375,0.4453125,0.4453125,0.3924095954171142,0.5497961560861968,0.4453125,0.375,0.375,0.2777777777777778,0.3214285714285714,0.375,0.00015
15,1.2361615498860676,0.5260416666666666,0.3203125,0.3203125,0.24447391688770997,0.45922882427307204,0.3203125,0.25,0.25,0.1,0.0625,0.25,0.00015
16,1.2347068786621094,0.4921875,0.4140625,0.4140625,0.36511112127309314,0.3268696581196581,0.4140625,0.625,0.625,0.55,0.5,0.625,0.00015
17,1.224805196126302,0.546875,0.359375,0.359375,0.32247460423864277,0.4021641791044776,0.359375,0.375,0.375,0.30952380952380953,0.35,0.375,0.00015
18,1.2080313364664714,0.5677083333333334,0.4140625,0.4140625,0.2890625,0.24739583333333331,0.4140625,0.5,0.5,0.375,0.3333333333333333,0.5,0.00015
19,1.2135766347249348,0.5416666666666666,0.4375,0.4375,0.4173881414330367,0.5794051627384961,0.4375,0.5,0.5,0.41666666666666663,0.375,0.5,0.00015
20,1.2063789367675781,0.5598958333333334,0.390625,0.390625,0.33546391256199143,0.5231132075471698,0.390625,0.375,0.375,0.2777777777777778,0.3214285714285714,0.375,0.00015
21,1.1980730692545574,0.5677083333333334,0.375,0.375,0.39728999485884164,0.5275735294117647,0.375,0.25,0.25,0.23809523809523808,0.3,0.25,0.00015
22,1.1967207590738933,0.578125,0.484375,0.484375,0.4276299507318778,0.3970113147459158,0.484375,0.75,0.75,0.6666666666666666,0.625,0.75,0.00015
23,1.1764208475748699,0.5963541666666666,0.421875,0.421875,0.3781985086634406,0.4374338624338624,0.421875,0.625,0.625,0.5595238095238095,0.6,0.625,0.00015
24,1.1760183970133464,0.578125,0.4609375,0.4609375,0.31161616161616157,0.23578229541945445,0.4609375,0.5,0.5,0.3333333333333333,0.25,0.5,0.00015
25,1.1627925237019856,0.6067708333333334,0.453125,0.453125,0.38005279034690803,0.6438923395445135,0.453125,0.5,0.5,0.375,0.3333333333333333,0.5,0.00015
26,1.1754411061604817,0.5677083333333334,0.28125,0.28125,0.19956057456057452,0.3755630630630631,0.28125,0.25,0.25,0.1,0.0625,0.25,0.00015
27,1.1614967981974285,0.6067708333333334,0.3046875,0.3046875,0.19431875314228256,0.31611570247933884,0.3046875,0.25,0.25,0.1,0.0625,0.25,0.00015
28,1.146903355916341,0.6067708333333334,0.2734375,0.2734375,0.14476797088262056,0.314,0.2734375,0.25,0.25,0.1,0.0625,0.25,7.5e-05
29,1.1458574930826824,0.6510416666666666,0.3515625,0.3515625,0.25403348554033484,0.3201754385964912,0.3515625,0.375,0.375,0.2777777777777778,0.3214285714285714,0.375,7.5e-05
30,1.1475369135538738,0.6171875,0.40625,0.40625,0.3343106801753418,0.4792079207920792,0.40625,0.5,0.5,0.375,0.3333333333333333,0.5,7.5e-05
31,1.1422840754191081,0.5963541666666666,0.4921875,0.4921875,0.40045077044840244,0.5135804491028861,0.4921875,0.5,0.5,0.3333333333333333,0.25,0.5,7.5e-05
32,1.1352392832438152,0.6666666666666666,0.4609375,0.4609375,0.33861609615597654,0.4992732558139535,0.4609375,0.5,0.5,0.375,0.3333333333333333,0.5,7.5e-05
33,1.1329043706258137,0.6640625,0.4296875,0.4296875,0.41859707472672814,0.5587330623306233,0.4296875,0.625,0.625,0.5595238095238095,0.6,0.625,7.5e-05
34,1.129746437072754,0.6536458333333334,0.4453125,0.4453125,0.4652933455253377,0.5486413043478261,0.4453125,0.5,0.5,0.5,0.5625,0.5,3.75e-05
35,1.1228857040405273,0.640625,0.484375,0.484375,0.4946215308767903,0.5548594847775176,0.484375,0.625,0.625,0.6,0.5833333333333333,0.625,3.75e-05
36,1.122629960378011,0.6458333333333334,0.5078125,0.5078125,0.4797701860993,0.5214726934013139,0.5078125,0.625,0.625,0.55,0.5,0.625,3.75e-05
37,1.1356083552042644,0.6276041666666666,0.4921875,0.4921875,0.4897614324151055,0.607022363601311,0.4921875,0.625,0.625,0.5595238095238095,0.6,0.625,3.75e-05
