epoch,train_loss,train_accuracy,val_window_accuracy,val_window_balanced_accuracy,val_window_macro_f1,val_window_macro_precision,val_window_macro_recall,val_file_accuracy,val_file_balanced_accuracy,val_file_macro_f1,val_file_macro_precision,val_file_macro_recall,learning_rate
1,1.3834393819173176,0.3333333333333333,0.25,0.25,0.1,0.0625,0.25,0.25,0.25,0.1,0.0625,0.25,0.001
2,1.116555094718933,0.4869791666666667,0.25,0.25,0.1,0.0625,0.25,0.25,0.25,0.1,0.0625,0.25,0.001
3,0.9527655119697253,0.578125,0.25,0.25,0.1,0.0625,0.25,0.25,0.25,0.1,0.0625,0.25,0.001
4,0.8819325764973959,0.6223958333333334,0.25,0.25,0.1,0.0625,0.25,0.25,0.25,0.1,0.0625,0.25,0.001
5,0.8739999731381735,0.6067708333333334,0.2890625,0.2890625,0.1707933740191805,0.3150406504065041,0.2890625,0.25,0.25,0.1,0.0625,0.25,0.001
6,0.7902069787184397,0.6770833333333334,0.21875,0.21875,0.13718820861678005,0.30217391304347824,0.21875,0.25,0.25,0.1,0.0625,0.25,0.001
7,0.691440631945928,0.7395833333333334,0.25,0.25,0.1,0.0625,0.25,0.25,0.25,0.1,0.0625,0.25,0.0005
8,0.6585403804977735,0.7317708333333334,0.3515625,0.3515625,0.23928571428571432,0.23657407407407408,0.3515625,0.25,0.25,0.1,0.0625,0.25,0.0005
9,0.6277937181293964,0.7526041666666666,0.25,0.25,0.1,0.0625,0.25,0.25,0.25,0.1,0.0625,0.25,0.0005
10,0.6610999380548795,0.7135416666666666,0.3125,0.3125,0.20190476190476192,0.2677966101694915,0.3125,0.25,0.25,0.1,0.0625,0.25,0.0005
11,0.6252592404683431,0.7682291666666666,0.25,0.25,0.1,0.0625,0.25,0.25,0.25,0.1,0.0625,0.25,0.0005
12,0.6016224337120851,0.7421875,0.2578125,0.2578125,0.11578044596912522,0.31299212598425197,0.2578125,0.25,0.25,0.1,0.0625,0.25,0.0005
13,0.4761916200319926,0.8177083333333334,0.265625,0.265625,0.17702034084661902,0.1340880503144654,0.265625,0.5,0.5,0.34285714285714286,0.26666666666666666,0.5,0.0005
14,0.5007750689983368,0.8333333333333334,0.25,0.25,0.1,0.0625,0.25,0.25,0.25,0.1,0.0625,0.25,0.0005
15,0.4656236246228218,0.828125,0.1953125,0.1953125,0.15005379435715743,0.19353516657852987,0.1953125,0.125,0.125,0.07142857142857144,0.05,0.125,0.0005
16,0.45712104563911754,0.8307291666666666,0.2890625,0.2890625,0.19730679156908665,0.1597953216374269,0.2890625,0.25,0.25,0.1,0.0625,0.25,0.0005
17,0.40825407455364865,0.8411458333333334,0.25,0.25,0.1,0.0625,0.25,0.25,0.25,0.1,0.0625,0.25,0.0005
18,0.3621373226245244,0.8828125,0.25,0.25,0.1,0.0625,0.25,0.25,0.25,0.1,0.0625,0.25,0.0005
19,0.4713940657675266,0.8098958333333334,0.2421875,0.2421875,0.09748427672955975,0.0610236220472441,0.2421875,0.25,0.25,0.1,0.0625,0.25,0.00025
20,0.3440456489721934,0.8932291666666666,0.2421875,0.2421875,0.11229904791634149,0.08682983682983683,0.2421875,0.25,0.25,0.1,0.0625,0.25,0.00025
21,0.3447124802817901,0.8776041666666666,0.2421875,0.2421875,0.13436041083099903,0.3078512396694215,0.2421875,0.25,0.25,0.1,0.0625,0.25,0.00025
22,0.3239213041961193,0.8828125,0.3984375,0.3984375,0.34376417233560097,0.5139920045688178,0.3984375,0.25,0.25,0.1,0.0625,0.25,0.00025
23,0.31162747181952,0.9036458333333334,0.3359375,0.3359375,0.2845143986448334,0.4345125786163522,0.3359375,0.25,0.25,0.1,0.0625,0.25,0.00025
24,0.31375516516466934,0.890625,0.3359375,0.3359375,0.25023969319271333,0.5683760683760684,0.3359375,0.25,0.25,0.1,0.0625,0.25,0.00025
25,0.27280011773109436,0.9140625,0.25,0.25,0.1,0.0625,0.25,0.25,0.25,0.1,0.0625,0.25,0.000125
26,0.29621980463465053,0.8854166666666666,0.3359375,0.3359375,0.22203468244353225,0.4234006734006734,0.3359375,0.25,0.25,0.1,0.0625,0.25,0.000125
27,0.26991086825728416,0.9010416666666666,0.2734375,0.2734375,0.19024969024969024,0.38613445378151257,0.2734375,0.375,0.375,0.2777777777777778,0.3214285714285714,0.375,0.000125
28,0.2440293732409676,0.9296875,0.5078125,0.5078125,0.485610117676987,0.5905971479500891,0.5078125,0.5,0.5,0.43452380952380953,0.475,0.5,0.000125
