epoch,train_loss,train_accuracy,val_window_accuracy,val_window_balanced_accuracy,val_window_macro_f1,val_window_macro_precision,val_window_macro_recall,val_file_accuracy,val_file_balanced_accuracy,val_file_macro_f1,val_file_macro_precision,val_file_macro_recall,learning_rate
1,1.4601240370008681,0.2777777777777778,0.25,0.25,0.1,0.0625,0.25,0.25,0.25,0.1,0.0625,0.25,0.0003
2,1.2111128913031683,0.4444444444444444,0.25,0.25,0.1,0.0625,0.25,0.25,0.25,0.1,0.0625,0.25,0.0003
3,0.9973301516638862,0.5833333333333334,0.25,0.25,0.1,0.0625,0.25,0.25,0.25,0.1,0.0625,0.25,0.0003
4,0.8918061547809177,0.5833333333333334,0.30833333333333335,0.30833333333333335,0.20251623376623376,0.15955284552845528,0.30833333333333335,0.5,0.5,0.375,0.3333333333333333,0.5,0.0003
5,0.7829954491721259,0.7055555555555556,0.26666666666666666,0.26666666666666666,0.20250582750582752,0.30637254901960786,0.26666666666666666,0.25,0.25,0.1,0.0625,0.25,0.0003
6,0.7102286378542583,0.7305555555555555,0.26666666666666666,0.26666666666666666,0.13260135135135134,0.3135593220338983,0.26666666666666666,0.25,0.25,0.1,0.0625,0.25,0.0003
7,0.5971973790062799,0.8,0.3,0.3,0.23527413308341144,0.3959701492537313,0.3,0.375,0.375,0.25,0.1875,0.375,0.0003
8,0.5826776133643257,0.7805555555555556,0.25,0.25,0.1,0.0625,0.25,0.25,0.25,0.1,0.0625,0.25,0.00015
9,0.45912149482303194,0.8472222222222222,0.3,0.30000000000000004,0.18705052202900346,0.4189693801344287,0.30000000000000004,0.25,0.25,0.1,0.0625,0.25,0.00015
10,0.4367963658438789,0.8388888888888889,0.3333333333333333,0.33333333333333337,0.29185672817748287,0.461271053662358,0.33333333333333337,0.25,0.25,0.125,0.08333333333333333,0.25,0.00015
11,0.4071539931827121,0.8527777777777777,0.35833333333333334,0.35833333333333334,0.2957393483709273,0.526294498381877,0.35833333333333334,0.25,0.25,0.1,0.0625,0.25,0.00015
12,0.3195361614227295,0.9222222222222223,0.525,0.5249999999999999,0.5067746127068161,0.5502873563218391,0.5249999999999999,0.75,0.75,0.6666666666666666,0.625,0.75,0.00015
13,0.3024988724125756,0.8888888888888888,0.375,0.375,0.2798005409060176,0.42887596899224806,0.375,0.25,0.25,0.11111111111111112,0.07142857142857142,0.25,0.00015
14,0.2941436502668593,0.9194444444444444,0.4083333333333333,0.4083333333333333,0.3729411764705882,0.39541666666666664,0.4083333333333333,0.625,0.625,0.5595238095238095,0.6,0.625,0.00015
15,0.29178277187877233,0.9027777777777778,0.30833333333333335,0.30833333333333335,0.1994896994896995,0.3163716814159292,0.30833333333333335,0.25,0.25,0.1,0.0625,0.25,0.00015
16,0.25622637967268624,0.925,0.375,0.375,0.33773283935371,0.4094387755102041,0.375,0.5,0.5,0.375,0.3333333333333333,0.5,7.5e-05
17,0.2475131846136517,0.9194444444444444,0.4,0.39999999999999997,0.38911872113422363,0.5793823326432022,0.39999999999999997,0.5,0.5,0.375,0.3333333333333333,0.5,7.5e-05
18,0.25816041595406003,0.9166666666666666,0.5166666666666667,0.5166666666666666,0.5134781167108753,0.5425,0.5166666666666666,0.625,0.625,0.5833333333333333,0.625,0.625,7.5e-05
19,0.196003763212098,0.95,0.4083333333333333,0.4083333333333333,0.433483443838135,0.5007936507936508,0.4083333333333333,0.75,0.75,0.6666666666666666,0.625,0.75,7.5e-05
20,0.18103984031412337,0.9583333333333334,0.5416666666666666,0.5416666666666667,0.5157105390471826,0.5647528799702712,0.5416666666666667,0.625,0.625,0.5833333333333333,0.625,0.625,3.75e-05
