epoch,train_loss,train_accuracy,val_window_accuracy,val_window_balanced_accuracy,val_window_macro_f1,val_window_macro_precision,val_window_macro_recall,val_file_accuracy,val_file_balanced_accuracy,val_file_macro_f1,val_file_macro_precision,val_file_macro_recall,learning_rate
1,1.4436543782552083,0.265625,0.25,0.25,0.1,0.0625,0.25,0.25,0.25,0.1,0.0625,0.25,0.001
2,1.3909594217936199,0.2916666666666667,0.25,0.25,0.1,0.0625,0.25,0.25,0.25,0.1,0.0625,0.25,0.001
3,1.3478406270345051,0.3984375,0.25,0.25,0.1,0.0625,0.25,0.25,0.25,0.1,0.0625,0.25,0.001
4,1.322540283203125,0.421875,0.25,0.25,0.1,0.0625,0.25,0.25,0.25,0.1,0.0625,0.25,0.001
5,1.2926368713378906,0.4661458333333333,0.25,0.25,0.1,0.0625,0.25,0.25,0.25,0.1,0.0625,0.25,0.001
6,1.2464968363444011,0.5182291666666666,0.3046875,0.3046875,0.18662131519274378,0.20418060200668897,0.3046875,0.25,0.25,0.1,0.0625,0.25,0.001
7,1.2014414469401042,0.5729166666666666,0.265625,0.265625,0.13067758749069247,0.3134920634920635,0.265625,0.25,0.25,0.1,0.0625,0.25,0.0005
8,1.1732858022054036,0.5859375,0.28125,0.28125,0.1581196581196581,0.31451612903225806,0.28125,0.25,0.25,0.1,0.0625,0.25,0.0005
9,1.1556816101074219,0.6015625,0.25,0.25,0.1,0.0625,0.25,0.25,0.25,0.1,0.0625,0.25,0.0005
10,1.1452747980753581,0.5963541666666666,0.3359375,0.3359375,0.23256704980842913,0.2823349217154527,0.3359375,0.25,0.25,0.1,0.0625,0.25,0.0005
11,1.1193143526713054,0.6197916666666666,0.28125,0.28125,0.1600141292829389,0.23504273504273504,0.28125,0.25,0.25,0.1,0.0625,0.25,0.0005
12,1.106666088104248,0.6380208333333334,0.265625,0.265625,0.131328171530673,0.10588972431077694,0.265625,0.25,0.25,0.1,0.0625,0.25,0.0005
13,1.0851831436157227,0.640625,0.3125,0.3125,0.20526315789473687,0.31666666666666665,0.3125,0.25,0.25,0.1,0.0625,0.25,0.00025
14,1.0842116673787434,0.6067708333333334,0.25,0.25,0.14861379754996776,0.13666666666666666,0.25,0.375,0.375,0.2777777777777778,0.3214285714285714,0.375,0.00025
15,1.0638008117675781,0.6536458333333334,0.328125,0.328125,0.2733327483327483,0.4625,0.328125,0.25,0.25,0.1,0.0625,0.25,0.00025
16,1.0674084822336833,0.6380208333333334,0.34375,0.34375,0.2511666000038093,0.5689655172413793,0.34375,0.25,0.25,0.1,0.0625,0.25,0.00025
17,1.0534582138061523,0.625,0.5546875,0.5546875,0.4730267449445531,0.4142313536454376,0.5546875,0.75,0.75,0.6666666666666666,0.625,0.75,0.00025
18,1.0478360652923584,0.6588541666666666,0.296875,0.296875,0.18149824032176973,0.28040141676505315,0.296875,0.25,0.25,0.1,0.0625,0.25,0.00025
19,1.0349651177724202,0.6692708333333334,0.390625,0.390625,0.3307971014492754,0.2880133040016761,0.390625,0.75,0.75,0.6666666666666666,0.625,0.75,0.00025
20,1.0224120517571766,0.6927083333333334,0.3515625,0.3515625,0.27429333482837165,0.6143939393939394,0.3515625,0.25,0.25,0.1,0.0625,0.25,0.00025
21,1.0225963592529297,0.6432291666666666,0.4453125,0.4453125,0.3026315789473685,0.23581654294803817,0.4453125,0.5,0.5,0.34285714285714286,0.26666666666666666,0.5,0.00025
22,1.0168431997299194,0.6744791666666666,0.34375,0.34375,0.24447174447174447,0.31896551724137934,0.34375,0.25,0.25,0.1,0.0625,0.25,0.00025
23,1.0061976512273152,0.6510416666666666,0.296875,0.296875,0.18779090583601862,0.31956521739130433,0.296875,0.25,0.25,0.1,0.0625,0.25,0.000125
24,0.9955721298853556,0.6848958333333334,0.3828125,0.3828125,0.3719141270966218,0.5123424369747899,0.3828125,0.5,0.5,0.41666666666666663,0.375,0.5,0.000125
25,0.9801316857337952,0.6770833333333334,0.5234375,0.5234375,0.4802520682236565,0.5829320987654321,0.5234375,0.625,0.625,0.5833333333333333,0.625,0.625,0.000125
26,0.9933852354685465,0.6692708333333334,0.40625,0.40625,0.3324362511015274,0.6761904761904762,0.40625,0.375,0.375,0.2777777777777778,0.3214285714285714,0.375,0.000125
27,0.974077582359314,0.703125,0.4609375,0.4609375,0.4131537861046058,0.5850725952813067,0.4609375,0.75,0.75,0.6666666666666666,0.625,0.75,0.000125
28,0.9866211811701456,0.6822916666666666,0.359375,0.359375,0.37436983262754586,0.6383677298311445,0.359375,0.5,0.5,0.375,0.3333333333333333,0.5,0.000125
29,0.9891689221064249,0.6666666666666666,0.5546875,0.5546875,0.5449226305609284,0.5930322128851541,0.5546875,0.625,0.625,0.5595238095238095,0.6,0.625,6.25e-05
30,0.9617791970570883,0.6901041666666666,0.5703125,0.5703125,0.5404463352739215,0.5935243328100471,0.5703125,0.75,0.75,0.6666666666666666,0.625,0.75,6.25e-05
31,0.9717766642570496,0.6614583333333334,0.5078125,0.5078125,0.49453537492510585,0.4973204955963577,0.5078125,0.5,0.5,0.41666666666666663,0.375,0.5,6.25e-05
32,0.9602892398834229,0.6614583333333334,0.578125,0.578125,0.5480351487360833,0.6875,0.578125,0.75,0.75,0.6666666666666666,0.625,0.75,6.25e-05
